Dataset,File,date,processing_timestamp,Units,HCHO_Mean (molecules/cm²),HCHO_Min (molecules/cm²),HCHO_Max (molecules/cm²),HCHO_Mean (DU),HCHO_Min (DU),HCHO_Max (DU),Min_Lat,Min_Lon,Max_Lat,Max_Lon
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0525_v003-2025m0526t061742.nc,5/25/2025,5/26/2025,molecules/cm²,1.389E+15,-9.93E+18,6.00E+18,0.05,-368.95,223.06,22.15,-10.64,-7.65,-57.94
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0524_v003-2025m0525t071800.nc,5/24/2025,5/25/2025,molecules/cm²,1.605E+15,-9.83E+18,3.48E+17,0.06,-365.36,12.94,-28.55,135.57,-9.45,-59.64
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0523_v003-2025m0524t061740.nc,5/23/2025,5/24/2025,molecules/cm²,322900000000000,-9.94E+18,8.77E+18,0.01,-369.44,325.85,-3.55,138.27,7.75,-16.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0522_v003-2025m0523t072042.nc,5/22/2025,5/23/2025,molecules/cm²,1.123E+15,-9.84E+18,8.86E+18,0.04,-365.91,329.2,58.05,129.87,36.35,82.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0521_v003-2025m0523t092611.nc,5/21/2025,5/23/2025,molecules/cm²,866000000000000,-9.97E+18,9.09E+18,0.03,-370.69,337.9,0.25,31.96,2.15,-44.84
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0520_v003-2025m0522t071911.nc,5/20/2025,5/22/2025,molecules/cm²,991100000000000,-9.66E+18,8.02E+18,0.04,-359.08,298,2.75,-52.74,-2.65,138.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0519_v003-2025m0520t072009.nc,5/19/2025,5/20/2025,molecules/cm²,958000000000000,-9.94E+18,8.75E+17,0.04,-369.57,32.53,40.75,43.06,1.55,-67.94
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0518_v003-2025m0519t061702.nc,5/18/2025,5/19/2025,molecules/cm²,1.237E+15,-9.82E+18,5.22E+18,0.05,-365.17,194.15,41.55,105.17,-0.05,34.66
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0517_v003-2025m0518t082053.nc,5/17/2025,5/18/2025,molecules/cm²,1.493E+15,-9.90E+18,2.35E+17,0.06,-367.9,8.72,51.25,11.16,-27.35,-66.24
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0516_v003-2025m0517t071907.nc,5/16/2025,5/17/2025,molecules/cm²,1.557E+15,-9.90E+18,5.93E+18,0.06,-367.84,220.57,30.45,77.87,12.95,-96.34
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0515_v003-2025m0516t062147.nc,5/15/2025,5/16/2025,molecules/cm²,1.269E+15,-9.87E+18,6.61E+17,0.05,-367,24.56,45.15,34.66,38.45,-3.64
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0514_v003-2025m0515t072123.nc,5/14/2025,5/15/2025,molecules/cm²,288800000000000,-9.98E+18,7.70E+18,0.01,-371.01,286.22,54.25,-115.65,12.45,22.46
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0513_v003-2025m0514t061549.nc,5/13/2025,5/14/2025,molecules/cm²,-273500000000000,-9.97E+18,7.56E+18,-0.01,-370.73,281.07,29.05,57.56,0.15,123.87
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0512_v003-2025m0514t062816.nc,5/12/2025,5/14/2025,molecules/cm²,-539800000000000,-9.95E+18,9.97E+17,-0.02,-369.74,37.06,31.05,20.36,29.25,-61.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0511_v003-2025m0512t071519.nc,5/11/2025,5/12/2025,molecules/cm²,-247100000000000,-9.96E+18,8.18E+18,-0.01,-370.3,303.91,7.95,35.96,16.35,100.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0510_v003-2025m0511t081510.nc,5/10/2025,5/11/2025,molecules/cm²,152500000000000,-9.95E+18,2.80E+17,0.01,-369.84,10.42,-3.15,97.97,-15.95,-66.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0509_v003-2025m0510t071201.nc,5/9/2025,5/10/2025,molecules/cm²,952400000000000,-9.97E+18,9.32E+18,0.04,-370.7,346.54,22.45,-22.34,-3.55,124.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0508_v003-2025m0509t061813.nc,5/8/2025,5/9/2025,molecules/cm²,811200000000000,-9.95E+18,8.81E+18,0.03,-369.96,327.35,-3.25,16.96,-6.15,135.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0507_v003-2025m0508t081629.nc,5/7/2025,5/8/2025,molecules/cm²,-927500000000000,-9.95E+18,2.72E+17,-0.03,-370,10.13,34.95,117.27,-27.95,-58.44
